KL;FNN;XAR3;XAR4;XAR5;XAR9;XAR13;XAR22;XAR25;XAR30;XAR31;XAR36;XAR37;XAR44;XAR46
Ленты технические;8305571629858;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17-09-14-247-87;лента техническая;Различные расцветки;уточный репс;5;200;30;6;самозатухающая;120
Ленты технические;8305571629860;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 44-1423-80;лента техническая;Различные расцветки;уточный репс;6;200;30;6;медленносгорающая;120
Ленты технические;8305571629862;"ФГУП ""ВИАМ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17 РСФСР 44-1423-80;лента техническая;Различные расцветки;уточный репс;12;200;30;6;медленносгорающая;120
Перкали;8305571629821;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17 РСФСР ГТ-01-35-91;Хлопчатобумажная ткань;Различные расцветки;Полотняное;80;164;30;7;Горит;120
Перкали;8305571629823;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17 РСФСР ГТ-01-53-92;Хлопчатобумажная ткань;Различные расцветки;Полотняное;80;112;30;5;Горит;120
Перкали;8305571633048;"ОАО ""ЦНИТИ""";"ОАО ""Глуховский текстиль""";"ОАО ""Глуховский текстиль""";ГОСТ 12125;Хлопчатобумажная ткань;Различные расцветки;Полотняное;80;120;30;362,6;Горит;120
Самозатухающие декоративно-отделочные материалы;8305571629791;"ЗАО ""Алмаз""";"ЗАО ""Алмаз""";"ЗАО ""Алмаз""";ТУ8171-130-00322318-98;Материал с односторонним тисненным поливинилхлоридным покрытием на основе стеклоткани;Различные расцветки;Полотняное;100;500;40;15;самозатухающая;1600
Самозатухающие декоративно-отделочные материалы;8305571629794;"ЗАО ""АвиаТехКом""";"ЗАО ""АвиаТехКом""";"ЗАО ""АвиаТехКом""";ТУ17-969-73;Материал с односторонним тисненным поливинилхлоридным покрытием на основе стеклоткани;Различные расцветки;Полотняное;75;500;40;157;самозатухающая;435
Самозатухающие декоративно-отделочные материалы;8305571629795;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ8714-048-05790484-92;Материал с односторонним тисненным поливинилхлоридным покрытием на основе стеклоткани;Различные расцветки;Полотняное;142;650;40;140;самозатухающая;435
Стеклоткани;8305571629802;"ФКП ""АХК""";"ФКП ""АХК""";"ФКП ""АХК""";ТУ1-92-82-83;стекляная ткань;Различные расцветки;Полотняное;65;55;40;160;медленносгорающая;435
Стеклоткани;8305571629804;"ФКП ""АХК""";"ФКП ""АХК""";"ФКП ""АХК""";ТУ1-92-82-83;стекляная ткань;Различные расцветки;Полотняное;60;40;40;130;медленносгорающая;435
Стеклоткани;8305571629810;"ОАО ""ЦНИИПИК""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17-21-91-76 извещения №1-5;стекляная ткань;Различные расцветки;Полотняное;80;425;40;600;самозатухающая;435
Стеклоткани;8305571633076;"ОАО ""ВНИИСВ""";"ОАО ""ОСВ Стекловолокно""";"ОАО ""ОСВ Стекловолокно""";ГОСТ 19907;стекляная ткань;Различные расцветки;Полотняное;70;300;40;300;медленносгорающая;195
Ткани декоративные самозатухающие;8305571629780;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17РФ19-0320787-5-95;декоративная ткань;Однотонная;Двухслойный;152;804;20;300;самозатухающая;510
Ткани декоративные самозатухающие;8305571629781;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17РФ19-00320785-6-97;декоративная ткань;Однотонная;Двухслойный;152;737;20;300;самозатухающая;510
Ткани декоративные самозатухающие;8305571629783;"ООО ""Ультраткань""";"ООО ""Ультраткань""";"ООО ""Ультраткань""";ТУ17РФ19-00320785-8-98;декоративная ткань;Однотонная;Двухслойный;152;613;20;300;самозатухающая;281
Ткани декоративные самозатухающие;8305571629785;"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТУ17-09-4-99;декоративная ткань;Различные расцветки;Жаккардовый;150;794;20;300;самозатухающая;425
Ткани декоративные самозатухающие;8305571629787;"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";"ООО ХК ""СПЕЦТЕХНОТКАНЬ""";ТО17-09-6-96 к ГОСТ 24220-80;декоративная ткань;Однотонная;Жаккардовый;150;392;20;300;самозатухающая;415
